;Rank;Guild;Realm;ItemsLvl;name;class;faction;gender;race;url_with_background;url_character;ID
16923;16924;Doradus;Ragnaros;476.63;Aady;priest;horde;FEMALE;nightborne;https://render-eu.worldofwarcraft.com/character/ragnaros/209/163905489-main.jpg;https://render-eu.worldofwarcraft.com/character/ragnaros/209/163905489-main-raw.png;aady-ragnaros
560;561;OSG;Kazzak;481.5;Aai;hunter;horde;MALE;tauren;https://render-eu.worldofwarcraft.com/character/kazzak/111/65105519-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/111/65105519-main-raw.png;aai-kazzak
23383;23384;Outism Prime;Thrall;475.69;Aaleharry;warrior;horde;MALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/thrall/227/140371683-main.jpg;https://render-eu.worldofwarcraft.com/character/thrall/227/140371683-main-raw.png;aaleharry-thrall
19088;19089;Tribunal;Twisting Nether;476.25;Aalistar;druid;horde;FEMALE;troll;https://render-eu.worldofwarcraft.com/character/twisting-nether/206/162287310-main.jpg;https://render-eu.worldofwarcraft.com/character/twisting-nether/206/162287310-main-raw.png;aalistar-twisting nether
8621;8622;Run Away Little Girl;Defias Brotherhood;478.44;Aapox;rogue;horde;MALE;undead;https://render-eu.worldofwarcraft.com/character/defias-brotherhood/183/100688823-main.jpg;https://render-eu.worldofwarcraft.com/character/defias-brotherhood/183/100688823-main-raw.png;aapox-defias brotherhood
14298;14299;GROM;Defias Brotherhood;477.06;Aatashan;shaman;alliance;MALE;dwarf;https://render-eu.worldofwarcraft.com/character/defias-brotherhood/18/140028946-main.jpg;https://render-eu.worldofwarcraft.com/character/defias-brotherhood/18/140028946-main-raw.png;aatashan-defias brotherhood
17668;17669;Pas Ouf;Hyjal;476.5;Abacodo;shaman;alliance;MALE;dwarf;https://render-eu.worldofwarcraft.com/character/hyjal/131/114483587-main.jpg;https://render-eu.worldofwarcraft.com/character/hyjal/131/114483587-main-raw.png;abacodo-hyjal
4943;4944; ;Archimonde;479.31;Abadonn;paladin;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/archimonde/83/192111187-main.jpg;https://render-eu.worldofwarcraft.com/character/archimonde/83/192111187-main-raw.png;abadonn-archimonde
13492;13493; ;Blackrock;477.25;Abbatou;warrior;horde;MALE;tauren;https://render-eu.worldofwarcraft.com/character/blackrock/125/113194877-main.jpg;https://render-eu.worldofwarcraft.com/character/blackrock/125/113194877-main-raw.png;abbatou-blackrock
5366;5367; ;Blackhand;479.25;Abchrisbirne;paladin;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/blackhand/6/112090374-main.jpg;https://render-eu.worldofwarcraft.com/character/blackhand/6/112090374-main-raw.png;abchrisbirne-blackhand
14618;14619;The Final Verdict;Silvermoon;477.0;Abdila;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/silvermoon/168/178105512-main.jpg;https://render-eu.worldofwarcraft.com/character/silvermoon/168/178105512-main-raw.png;abdila-silvermoon
9027;9028;Killing Time;Draenor;478.31;Abeddh;demon-hunter;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/draenor/86/115026774-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/86/115026774-main-raw.png;abeddh-draenor
4967;4968;Fighter for Azeroth;Blackhand;479.31;Abelardus;hunter;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/blackhand/224/115500000-main.jpg;https://render-eu.worldofwarcraft.com/character/blackhand/224/115500000-main-raw.png;abelardus-blackhand
49050;49051;Nexilis;Die Silberne Hand;472.5;Abidanâ;rogue;horde;FEMALE;undead;https://render-eu.worldofwarcraft.com/character/die-silberne-hand/7/156805895-main.jpg;https://render-eu.worldofwarcraft.com/character/die-silberne-hand/7/156805895-main-raw.png;abidanâ-die silberne hand
30322;30323;Perpetual;Lightbringer;474.81;Abigor;demon-hunter;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/lightbringer/238/158575086-main.jpg;https://render-eu.worldofwarcraft.com/character/lightbringer/238/158575086-main-raw.png;abigor-lightbringer
17909;17910;Doggy Daycare;Draenor;476.44;Abilo;warlock;horde;MALE;undead;https://render-eu.worldofwarcraft.com/character/draenor/222/100183518-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/222/100183518-main-raw.png;abilo-draenor
15094;15095;Templar Knights;Bronze Dragonflight;476.94;Abino;death-knight;alliance;FEMALE;night-elf;https://render-eu.worldofwarcraft.com/character/bronze-dragonflight/96/88687712-main.jpg;https://render-eu.worldofwarcraft.com/character/bronze-dragonflight/96/88687712-main-raw.png;abino-bronze dragonflight
36873;36874;Heartbreak;Kazzak;474.06;Abonader;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/13/155395341-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/13/155395341-main-raw.png;abonader-kazzak
5162;5163; ;Kazzak;479.31;Abooladin;paladin;horde;MALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/243/171133683-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/243/171133683-main-raw.png;abooladin-kazzak
34861;34862;Momento;Draenor;474.31;Abouk;warrior;horde;MALE;undead;https://render-eu.worldofwarcraft.com/character/draenor/138/133530250-main.jpg;https://render-eu.worldofwarcraft.com/character/draenor/138/133530250-main-raw.png;abouk-draenor
1490;1491; ;Outland;480.56;Abovè;mage;alliance;FEMALE;human;https://render-eu.worldofwarcraft.com/character/outland/235/118033899-main.jpg;https://render-eu.worldofwarcraft.com/character/outland/235/118033899-main-raw.png;abovè-outland
7288;7289; ;Outland;478.88;Abrakababra;shaman;horde;FEMALE;orc;https://render-eu.worldofwarcraft.com/character/outland/187/164867771-main.jpg;https://render-eu.worldofwarcraft.com/character/outland/187/164867771-main-raw.png;abrakababra-outland
29204;29205;Ridens Moriar;Burning Legion;474.94;Abriela;shaman;alliance;FEMALE;draenei;https://render-eu.worldofwarcraft.com/character/burning-legion/96/158307168-main.jpg;https://render-eu.worldofwarcraft.com/character/burning-legion/96/158307168-main-raw.png;abriela-burning legion
13988;13989;Ehrengarde;Thrall;477.13;Abruzi;hunter;horde;MALE;tauren;https://render-eu.worldofwarcraft.com/character/thrall/37/147307301-main.jpg;https://render-eu.worldofwarcraft.com/character/thrall/37/147307301-main-raw.png;abruzi-thrall
27207;27208;Drip;Blackrock;475.19;Abschlachter;death-knight;horde;FEMALE;orc;https://render-eu.worldofwarcraft.com/character/blackrock/235/86549739-main.jpg;https://render-eu.worldofwarcraft.com/character/blackrock/235/86549739-main-raw.png;abschlachter-blackrock
9338;9295;Karma;Blackmoore;478.19;Absicht;shaman;alliance;FEMALE;draenei;https://render-eu.worldofwarcraft.com/character/blackmoore/60/136641596-main.jpg;https://render-eu.worldofwarcraft.com/character/blackmoore/60/136641596-main-raw.png;absicht-blackmoore
804;805; ;Kazzak;481.13;Absolutelad;demon-hunter;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/kazzak/17/193089297-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/17/193089297-main-raw.png;absolutelad-kazzak
22198;22199;Requiem;Doomhammer;475.81;Absolútion;paladin;alliance;MALE;human;https://render-eu.worldofwarcraft.com/character/doomhammer/185/86752953-main.jpg;https://render-eu.worldofwarcraft.com/character/doomhammer/185/86752953-main-raw.png;absolútion-doomhammer
3638;3639; ;Blackrock;479.69;Abstrakt;paladin;horde;FEMALE;blood-elf;https://render-eu.worldofwarcraft.com/character/blackrock/157/141748381-main.jpg;https://render-eu.worldofwarcraft.com/character/blackrock/157/141748381-main-raw.png;abstrakt-blackrock
8642;8643;Venthyrs;Kazzak;478.44;Abyssdragon;hunter;horde;MALE;troll;https://render-eu.worldofwarcraft.com/character/kazzak/182/138995382-main.jpg;https://render-eu.worldofwarcraft.com/character/kazzak/182/138995382-main-raw.png;abyssdragon-kazzak
40151;40152;Retry;Blackmoore;473.63;Abyzd;druid;horde;FEMALE;troll;https://render-eu.worldofwarcraft.com/character/blackmoore/233/119868905-main.jpg;https://render-eu.worldofwarcraft.com/character/blackmoore/233/119868905-main-raw.png;abyzd-blackmoore
783;784;Above Average;Elune;481.19;Abàddon;warlock;alliance;FEMALE;gnome;https://render-eu.worldofwarcraft.com/character/elune/193/182581953-main.jpg;https://render-eu.worldofwarcraft.com/character/elune/193/182581953-main-raw.png;abàddon-elune
16924;16925;Wolfsrudel;Antonidas;476.63;Abæloa;druid;horde;FEMALE;zandalari-troll;https://render-eu.worldofwarcraft.com/character/antonidas/75/117946187-main.jpg;https://render-eu.worldofwarcraft.com/character/antonidas/75/117946187-main-raw.png;abæloa-antonidas
9739;9740;Serenîty;Elune;478.06;Abïgør;demon-hunter;alliance;MALE;night-elf;https://render-eu.worldofwarcraft.com/character/elune/185/142097081-main.jpg;https://render-eu.worldofwarcraft.com/character/elune/185/142097081-main-raw.png;abïgør-elune
