;Name;Server
0;Method;Tarren Mill
1;Pieces;Draenor
2;FatSharkYes;Kazzak
3;Экзорсус;Ревущий фьорд
4;Aversion;Blackhand
5;Practice;Ragnaros
6;PMA;Tarren Mill
7;Unwealthy Homeless..;Twisting Nether
8;Memento;Stormreaver
9;Deviants;Twisting Nether
10;Impact;Archimonde
11;Рак Гейминг;Король
12;Walkthrough;Kazzak
13;Project;Kazzak
14;Northern Sky;Blackhand
15;Future;Twisting Nether
16;Angered;Draenor
17;Slack;Stormreaver
18;Error Code;Burning Legion
19;Zero Empathy;Archimonde
20;Банхаммер;Ревущий фьорд
21;ETG;Kazzak
22;Old Dirty Kobold;Kazzak
23;Entropy;Draenor
24;Sloth;Dun Modr
25;Bleached Bones;Wildhammer
26;Wiping As Intended;Draenor
27;Security;Tarren Mill
28;Korruptio;Stormreaver
29;Exposed;Drak'thul
30;Зайцы;Ревущий фьорд
31;Snafu;Thrall
32;Halcyon;Al'Akir
33;Deal With It;Twisting Nether
34;Reload;Zul'jin
35;CATASTROPHE;Twisting Nether
36;NonSense;Blackrock
37;untitled spreadsheet;Eredar
38;Quichons;Ysondre
39;P G;Ravencrest
40;Hope n Despair;Blackmoore
41;LAGET;Draenor
42;Pure;Turalyon
43;Nameless;Tarren Mill
44;eXsto;Tarren Mill
45;Placeholder Name;Tarren Mill
46;The Next Step;Twisting Nether
47;Honolulu;Sylvanas
48;Bald Fat and Ugly;Ragnaros
49;Northwind;Mannoroth
50;Dedicated Casuals;Eredar
51;Stones;Drak'thul
52;Bloody Tearz;Dalaran
53;SNYGGA POJKAR;Twisting Nether
54;Ecology;Kazzak
55;Oblivion;Anub'arak
56;Rogue Ninjas;Ravencrest
57;ECLATAX O MAX;Hyjal
58;Чёрный Лотос;Гордунни
59;Group Therapy;Ravencrest
60;Единение;Свежеватель Душ
61;Waít for it;Ysondre
62;Norrlands Guld;Tarren Mill
63;Echoes;Laughing Skull
64;Myst;Draenor
65;Miracle;Dun Modr
66;baited;Blackrock
67;S a n c t u m;Kazzak
68;Райдо;Ревущий фьорд
69;Familiar with Drama;Twisting Nether
70;Reason Gaming;Twisting Nether
71;Mindless;Hyjal
